No,Product,Category,Module,Test_No,Question,Possible_Answer,Answer_Explanation,Domain,Answer1,Answer2,Answer3,Answer4,True_Answer
12,PgMP Sample Questions,Program Management,Benefits Management,1,"Government opened a tender for getting naval ships built to their specifications. Luckily your organization's best and final offer was accepted and based on which a program was formed to deliver the expected benefits of building the naval ships. Program was initiated after careful analysis of business case studies. Focus was more on program's approach and cost vs. benefits balance. Program later was thoroughly planned by preparing all the individual plans and consolidating them into program management plan. Component managers were assigned and components got initiated. Currently all the components are performing well as per the plans, except that a major issue is identified which is thought to affect program's core objectives. Whom do you think is ultimately responsible to deliver the benefits of this government program?",4,"Program sponsor is ultimately responsible to deliver the benefits of this government program. If program fails, he is responsible. This is why he needs to champion the program support and is part of the governance board ensuring program succeeds. Sponsor provides resources and organizes funds required by the program. (SPM Ed3 pg62)

Program Manager is responsible in managing and delivering the program benefits. Although, he is not ultimately responsible. He can't make decisions on behalf of the program to make it succeed.

Governing government officials are the customers and are not ultimately responsible for delivering program benefits.

Program team is not ultimately responsible in delivering program's benefits. They are even less responsible than program manager himself. Program team is core part delivering most of the program management functions",Benefits Management,Program Manager,Governing Government Officials,Program Sponsor,Portfolio Manager,Program Sponsor
13,PgMP Sample Questions,Program Management,Benefits Management,1,"You are managing a program that is already half way through and running through program delivery phase. Identified program benefits are analyzed and documented in benefits register. Realization plan is prepared detailing how the benefits will be generated. Two benefits are almost ready from program's point of view, whereas three more benefits are still being worked on. These benefits are tracked well through delivery phase. It is important to,",4,"Regarding benefits, it is important to make sure that benefits deliver maximum value. This is because, unlike projects, program's focus is on how better the program's produced benefits serve and add value to its customers and beneficiaries.

Maintaining accurate benefits status in register is important too. But not more important than delivering maximum value

Program's performance report should have all important information about program's benefits realization. This would include any issues, risks or successes and failures or required changes etc...

Scenario doesn't make it explicit that the program is not generating incremental benefits. So it is not clear whether program should wait for the remaining three benefits to be completed first.",Benefits Management,maintain accurate benefits status in benefits register,include benefits measurement summary in program's performance report,wait for the three remaining benefits to be generated and then deliver all the five benefits after consolidation,make sure that benefits deliver maximum value,make sure that benefits deliver maximum value
14,PgMP Sample Questions,Program Management,Benefits Management,1,"You are managing a program that is already half way through and running through program delivery phase. Identified program benefits are analyzed and documented in benefits register. Realization plan is prepared detailing how the benefits will be generated. Two benefits are almost ready from program's point of view, whereas three more benefits are still being worked on. These benefits are tracked well through the delivery phase. When would the usage of program benefits register stop?",4,"From the given options, usage of the program benefits register will stop when program is officially terminated. This means, everything regarding the program will come to an end and all registers will stop being used including benefits register. Program closeout procedures however will still be followed and artifacts will still be archived for future references. (SPM Ed3 pg42)

Even when benefits are delivered to recipients, benefits register will still be maintained during sustainment of the benefits.

When governance board approves program closure, benefits register will not only be used throughout program closure but also beyond.

Program's financial report is prepared and shared during program closure activities. Benefits register is still be used beyond this point and also during benefits sustainment.",Benefits Management,When program is officially terminated,When benefits are delivered to recipients,When governance board approves program closure,When program's final report is accepted and signed off by the stakeholders,When program is officially terminated
15,PgMP Sample Questions,Program Management,Benefits Management,1,"As a program manager you know that activities of program benefits management domain are critical for program's overall success. So you decided to devote sufficient time to these activities. You started with identifying program's benefits and captured them in Benefits Register. You then consulted with key stakeholders and reviewed the benefits register with them. You did so in order to,",4,"You consulted with key stakeholders and reviewed the benefits register to get the key performance indicators defined and approved. This is next step once benefits are identified and benefit register is established. (SPM Ed3 pg39)

To get the benefits analyzed and planned further. Yes. But closer option is to get the KPIs defined and approved.

Benefits are already identified and recorded to benefits register. Primary purpose to consult with key stakeholders is to further work on identified benefits and get the KPIs defined and approved.

Eventually more clarity, insight and information revealed about the program benefits will help develop or refine the benefits realization plan. Although, this is not the motive behind consulting key stakeholders once benefits register is populated with identified benefits.",Benefits Management,get the benefits analyzed and planned further,get the key performance indicators defined and approved,achieve their consent and approval,understand and develop insights for benefits realization plan development,get the key performance indicators defined and approved
16,PgMP Sample Questions,Program Management,Stakeholder Engagement,1,"Your program is well underway. Program has grown to have around 85 stakeholders internal and external to the program. You have understood their requirements, captured them in a stakeholder map and prepared stakeholder register and engagement plan. Accordingly you have also prepared communication management plan. You have been regularly getting the program performance reports prepared, reviewed and shared with the relevant stakeholders. You know that while preparing performance reports it is important,",4,"Program performance reports are to give insights to stakeholders of how program is performing. This includes governance board. And preparing such report key stakeholders may particularly interested in knowing whether resources (expenses) are being used efficiently in order to generate the program benefits. (SPM Ed3 pg77)

Including risks and issues is important but not all the risks and issues. And including resource usage for benefits delivery is a closer choice.

Escalated issues as raised by component managers which are critical to program should be first analyzed and attempted to resolve at program level. If you can easily get the issue fixed at program level then you may decide not to include such issue to the report and instead may decide to include it in separate status summary report.

Preparing different drafts for different stakeholders based on information required by them makes sense but not too practical. Instead a common performance report should be prepared and additional required information should be directed to the relevant stakeholders as appropriate. At program management, commonalities of the required information and viability of the additional information present in the report should be carefully considered while preparing performance reports",Stakeholder Engagement,to include program risks and issues,to include escalated issues as raised by the component managers which are critical to program,to include resource usage for benefits delivery,to prepare different drafts for different stakeholders based on information required by them,to include resource usage for benefits delivery
17,PgMP Sample Questions,Program Management,Stakeholder Engagement,1,"You work for a multi national organization as a program manager. Recently you have been appointed as a program manager for an outsourcing program where around 30% of the services portfolio is expected to be outsourced to third party firm in India. Overall you have now 130 stakeholders in your multi year program. Your program has planned phases to outsource services in smaller chunks. Depending on diverse stakeholder requirements considering different demographics, geographical regions and social and professional cultures shift, you regularly need to,",4,"In a case of diverse stakeholder groups, ongoing clashes and difference in opinions are natural. So for a program manager it is important to regularly facilitate amongst the stakeholders and groups for negotiation sessions to bring them to a common agreement so that program can move forward without any impact from the diversity of the stakeholders. (SPM Ed3 pg50)

Program processes should be optimized as and how program progresses. So it is important. Although, it has nothing to do with this particular scenario of a program having diverse stakeholder groups.

Tighter governance is important too. Although program manager should try to identify commonalities and deploy uniform processes instead of different processes for different groups. Unless it is well justified as an exception.

Monitoring stakeholder participation to meetings for stakeholder engagement is important too. Although response is not appropriate for the scenario given where diverse stakeholders are mentioned.",Stakeholder Engagement,Adapt program processes to optimize them for wider acceptability and efficiency,Monitor each geographic teams with tighter governance for the differently deployed optimized processes,monitor stakeholder participation to the meetings to ensure required engagement,facilitate amongst stakeholders and groups for negotiation sessions,facilitate amongst stakeholders and groups for negotiation sessions
18,PgMP Sample Questions,Program Management,Stakeholder Engagement,1,"Program management in your organization has been fairly new introduction of service delivery. Although project management is well established and you have worked in project manager capacity on many diverse range of projects. You have been recently assigned as a program manager of an internal transformation program. You know that transformation program will have many risks and issues faced due to the fact that it is a major change and uncertainty involved can be greater compared to projects. Your program has stakeholders engaged from 4 different countries and a significant portion of the program delivery work is outsourced to 5 different contractor firms. Most efficient mode of communication has been identified as virtual meetings and conference calls. Considering this situation, to deal with urgency of the stakeholder issues,",4,"Impact analysis techniques help determine the urgency and probability of the stakeholder issues to understand overall impact on the program and its objectives. (SPM Ed3 pg50)

To deal with urgency of the stakeholder issues, organizing an immediate meeting is not always necessary or helpful. Especially if the meeting is to directly focus on workaround without thoroughly analyzing the issues.

Getting issues prioritized is always helpful. Impact analysis techniques take it to another level by understanding the urgency and probability of each issue, which then will help easily prioritize the issues. So directly trying to prioritize the issues without knowing more about the issues is not the best option at this point.

Organizing virtual meeting group discussions may be helpful but it is not clear for what purpose these discussions are organized. And moreover more specific and closer option of impact analysis technique is available and should be chosen.",Stakeholder Engagement,you should get impact analysis conducted,you should organize an interim and immediate meeting with relevant stakeholders to determine the workarounds of the issues as soon as possible,you should get the issues prioritized first so that most critical issues can be dealt with first,you should organize virtual meeting group discussions,you should get impact analysis conducted
19,PgMP Sample Questions,Program Management,Stakeholder Engagement,1,"Accordingly to you as a program manager, the program has approached closure phase and hence, final performance report is shared. All that was captured in program work breakdown structure is already executed and all benefits are generated. You have personally verified the same. Although, client stakeholders responded saying benefits are not generated to their expectations and some features should have been implemented differently and they don't agree that program can proceed to closure. You stayed firm on your response saying all the program objectives are achieved successfully. Governance board mentioned that,",4,"Program stakeholder expectations are important and hence, program can't proceed to closure till their expectations are dealt with. To avoid this situation, program manager should have worked in stakeholder engagement domain closely understanding their expectations and planning program delivery accordingly. Missing to identify or engage stakeholders may lead to such gaps and issues. (PgMP ECO pg14)

Program stakeholders expectations should be part of the program objectives, but that may not be the case always. Such as in the given scenario. There is a gap. Gap due to not collecting stakeholder expectations during program definition phase.

Program stakeholders wouldn't know if their expectations are well captured by the program management or not. It is program manager's responsibility to collect the stakeholder expectations and plan the program accordingly. So even though now program is executed accordingly to program manager, it still can't be closed due to open critical expectations from stakeholders.

Program stakeholder expectations are not program objectives until program management team identifies and captures their expectations as program objectives. If certain stakeholders are not identified or engaged, then their expectations may be missed out to be included in list of program objectives. So this option is also not correct choice.",Stakeholder Engagement,Program stakeholder expectations are already part of the program objectives so program can proceed to closure phase,Program stakeholder expectations are important and program can't proceed to closure till they are dealt with,Program stakeholders should have made their expectations clear during program's delivery. Now program is executed based on charter and should be closed,Program stakeholder expectations are themselves the program objectives so program can not proceed to closure phase,Program stakeholder expectations are important and program can't proceed to closure till they are dealt with
20,PgMP Sample Questions,Program Management,Stakeholder Engagement,1,"Your program is expected to deliver company wide benefits for a client organization. This means, there are huge number of stakeholders involved especially in client organization. As a program manager you know that stakeholders if not managed well may result in such a significant issues that may potentially derail the program and lead to termination. So you have been particularly giving attention to stakeholder engagement activities, while team is working on rest of the preparation activities. Your focus should be on,",4,"Stakeholder engagement is a very critical part of the program manager activities and is one of the five program performance domains. As a program manager and especially during program definition phase while program is being planned, your focus should be on planning very clear stakeholder engagement objectives. In other words, define clearly what are the key objectives of stakeholder engagement in your program. (SPM Ed3 pg46)

Developing relationship with stakeholders is a good practice and shouldn't be avoided. Although indulging in activities of developing relationship with all the stakeholders is not a practical approach. Especially when there are huge number of stakeholders in program.

Establishing stakeholder map is useful and should be performed once stakeholders are identified and being analyzed further. Although stakeholder map doesn't outline HOW negative stakeholders can be transformed into positive or neutral stakeholders. Instead, it identifies which stakeholders need to be transformed from what category to what category. Moreover, more important activity for a program manager is to strategize and define stakeholder engagement objectives very clearly.

Making sure that stakeholders' program benefits expectations are fulfilled is important although not more important than defining stakeholder engagement objectives, especially during program definition phase.",Stakeholder Engagement,Developing relationship with stakeholders to avoid any stakeholder issues and impact to the program,Establish stakeholder map that outlines how negative stakeholders can be transformed into positive or neutral stakeholders,Planning for very clear stakeholder engagement objectives,Making sure that stakeholders' program benefits expectations are fulfilled,Planning for very clear stakeholder engagement objectives
21,PgMP Sample Questions,Program Management,Governance,1,"After consistent efforts of 6 years, finally your program has now generated all the deliverables and most of the components are either closed or about to be closed. You prepared a recommendation to close the program and forwarded to your governance board. You are aware that governance board will not approve the recommendation to close the program just because you have forwarded it to them. Board will have to verify that the program closure conditions are achieved as stipulated in,",4,"Governance board reviews program charter to determine if all the criteria to close the program are met. (SPM Ed3 pg61)

Program plan, benefits realization plan and business case are not correct choices as per SPM Ed3.",Governance,program plan,program benefits realization plan,program's business case,program charter,program charter
22,PgMP Sample Questions,Program Management,Governance,1,"Your program is well under way through delivery phase. You are preparing for a governance board meeting. It is a decision review meeting. Such meeting is based on the necessity to,",4,"While governance board reviews can be arranged for variety of reasons, one of them is to confirm whether program performance satisfies stakeholder expectations or not. This is fundamental need anyway with any of the governance board reviews. This doesn’t mean each stakeholder is invited in these review meetings and asked for whether they are happy with the results. Instead, program's performance is judged against already collected and recorded stakeholder expectations. (SPM Ed3 pg60)

Scenario hasn't clarified whether a program component is about to be closed or a new component is required to be initiated. In absence of such specific detail, a fundamental need of the review meeting should be chosen from available options.

verification of benefits realization as per the expectations is just one of the reasons why board reviews are arranged. So even though it seems to be a correct option a closer option if available should be chosen which would be true in most conditions.",Governance,confirm whether program performance satisfies stakeholder expectations or not,approve closure of existing program component,initiate new program component,to verify if benefits are being realized as expected,confirm whether program performance satisfies stakeholder expectations or not
23,PgMP Sample Questions,Program Management,Governance,1,"While you are implementing your program through its delivery phase, you are preparing for a governance board meeting which is on next Monday. Which one according to you would be the closest reason for this meeting?",4,"Most common reasons for meeting governance board are for phase gate reviews and for health check reviews. During such reviews program's status is reviewed and decisions are made for any further required alignments. This would include removal of existing component, modification of it or addition of new component. You as a program manager may put across a recommendation for addition of a new component and during such review meeting, approval can be sought. Hence, Addition of another project to the program is closest choice in this case. (SPM Ed3 pg60)

Review of the program resources is one of the many other things reviewed during health checks so even if that is correct, it is not closer choice than addition of another project.

Resolution of the program issues should be taken care by program management first and only those issues should be discussed with board where resolution is perceived to be beyond program management's reach.

Approval of program management plan should have been already done during program preparation phase. Program is in delivery phase. So this option is irrelevant.",Governance,To review program resources,For addition of another project to the program,For resolution of program issues,For approval of program management plan,For addition of another project to the program
24,PgMP Sample Questions,Program Management,Governance,1,"A new program is being introduced in your organization to restrict the Admin rights of the employees to their laptops. Only approved employees will have Admin rights to their laptops. Your program will take care of revoking the Admin rights and put in place a process that should smoothly allow justified employees to have admin rights on their laptops. Your organization has more than 80000 employees and many of them would have their work affected if their admin rights are gone even for a single day. So it is a very sensitive program and lot of complaints have already been received by the program management team. And issues are popping up from many directions. You think if this continues, it may strongly hinder program's implementation in many ways. So you put a process in place, and advised your team that any critical problems faced, then it should be immediately escalated to,",4,"No matter what level of issue or problem comes up in your program, first escalation point should be you as the program manager. (SPM Ed3 pg56)

Program Sponsor or Governance Board should be engaged by you if you think you can't resolve the issue. But first escalation should come to you.

From the scenario it is not clear if program manager needs or willing to appoint an escalation manager just to deal with this issue. It is program manager's responsibility to resolve any program issues that may have potential to affect the program or its bottom-line.",Governance,"Program Sponsor, as it is his responsibility to defuse such problems from its root. Sponsor should be able to do this by the authority and power that he has.","Program Governance Board, since such a critical issue can potentially halt the program",You as you are the program manager.,"An appointed experienced escalation manager, who can take care of such issues in more dedicated and controlled way. After all, ownership is important to deal with such issues.",You as you are the program manager.
25,PgMP Sample Questions,Program Management,Governance,1,"You are the program manager for the first program in your organization. By PMO's recommendation finally steering committee agreed to run this initiative as a program instead of couple of projects. A governance board is also established, although neither you, your team nor the governance board is very clear on how your program's approach should be finalized. So PMO advised to",4,"Different approaches through program can be implemented are documented in program's business case. So governance board should review the program's business case carefully and decide the best approach for the program. (SPM Ed3 pg54)

Following PMO's process or reviewing program plan or following organization's governance process are irrelevant and will not help decide the best program approach.",Governance,use PMO's already established process for the same,review and follow the program plan,follow the governance processes already established at organization level,get the business case reviewed and decision made,get the business case reviewed and decision made
